"FirstAuthor","YearOfPublication","StudyName","Design","DesignGroup","Exposure","SpecificFood","FoodSubgroup","SpecificExposureGroup","MotherChildExposure","IfExposureIsCategorialReferenceGroup","IfExposureIsCategoricalComparisonGroups","ExposureSizeGroup","ExposureCategories","ToReverseReferenceGroup","OutcomeGroup","SpecificOutcome","OutcomeSubgroup","AgeAtOutcome","AgeAtOutcomeGroup","DiseaseRisk","OverallRiskOfBias","OverallRisk","RiskOfBiasDueToPotenialConflictOfInterest","Col","Ncases","NumberExposedinCases","NumberNonExposedinCases","NumberExposedinControls","NumberNonExposedinControls","TotalNumberParticpantsWithOutcomesAndExposureDataInExposedGroup","NumberParticipantsWithTheOutcomeInExposed","TotalNumberParticpantsWithOutcomeAndExposureDataInNonExposedGroup","NumberParticipantsWithOutcomeInNonExposed","EffectMeasureAssociation(OrHrMeanDifference(B))","EffectSize","95%Ci(Lower)","955CI(Upper)","Pvalue","Other","EffectMeasureAssociation(OrHrMeanDifference(B))","AdjEffectSize","AdJ95%Ci(Lower)","AdJ95%Ci(Upper)","AdjPValue","FinalEffectMeasureAssociation(OrHrMeanDifference(B))","UnadjInOr(RawNmbersOrUnadjOrRrHr)","UnadjSe(InOr)(RawNumbersOrUnadjOrRrHr)","AdjInOr","AdjSe(InOr)","FinalInOr","FinalSe(InOr)","BackcalcUnadjOr","BackcalcUnadjLL95%CI","BackcalcAnadjUL95%CI","BackCalcAdjOr","BackcalcAdjLL95%CI","BackcalcAdjUL95%CI","BackcalcFinalOr","BackcalcFinalLL95%Cl","BackcalcFinalUL95%Cl","FinalEm","FUnadjInOr","FUnadjiSe(InOr)","FAdjInOr","FAdjSe(InOr)","FFinalInOr","FFinalSe(InOr)","FBackcalcUnadjOr","FBackcalcUnadjLL95%Cl","FBackcalcUnadjUL95%Cl","FBackcalcAdjOr","FBackcalcAdjLL95%Cl","FBackcalcAdjUL95%Cl","FBackcalcFinalOr","FBackcalcFinalLL95%Cl","FBackcalcFinalUL95%Cl"
"Martindale","2005","ABERDEEN COHORT","prospective cohort","prospective","Vitamin C-dietary","VIT C","VITAMIN C","MATERNAL VITAMIN INTAKE","mother-pregnancy-intake","lowest","highest","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","2","0to4","low/normal","Low","Low","Low","Low","","","","","","","","","","OR","1.4","0.83","2.36","","","OR","1.71","0.95","3.06","","OR","0.336472237","0.266423154","0.536493371","0.296898748","0.536493371","0.296898748","1.4","0.830508475","2.36","1.71","0.955588235","3.06","1.71","0.955588235","3.06","OR","0.336472237","0.266423154","0.536493371","0.296898748","0.536493371","0.296898748","1.4","0.830508475","2.36","1.71","0.955588235","3.06","1.71","0.955588235","3.06"
"Miyake","2010","OMCHS","prospective cohort","prospective","Maternal intake of Vitamin C","VIT C","VITAMIN C","MATERNAL VITAMIN INTAKE","mother-pregnancy-intake","Q1 lowest intake","Q4 highest intake","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","2","0to4","low/normal","Low","Low","Low","Low","","","","","","","","","","OR","0.8","0.49","1.3","","","OR","0.98","0.58","1.66","","OR","-0.223143551","0.247708069","-0.020202707","0.268887913","-0.020202707","0.268887913","0.8","0.492307692","1.3","0.98","0.578554217","1.66","0.98","0.578554217","1.66","OR","-0.223143551","0.247708069","-0.020202707","0.268887913","-0.020202707","0.268887913","0.8","0.492307692","1.3","0.98","0.578554217","1.66","0.98","0.578554217","1.66"
"Litonjua","2006","PROJECT VIVA ","prospectvie cohort","prospective","Vitamin C","VIT C","VITAMIN C","MATERNAL VITAMIN INTAKE","mother-pregnancy-intake","lowest","Highest","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","2","0to4","low/normal","Unclear","Unclear/high","Low","Low","","","","","","","","","","OR","0.67","0.47","0.94","0.01","","OR","0.79","0.54","1.15","0.2","OR","-0.400477567","0.172756206","-0.235722334","0.19157361","-0.235722334","0.19157361","0.67","0.477553191","0.94","0.79","0.542695652","1.15","0.79","0.542695652","1.15","OR","-0.400477567","0.172756206","-0.235722334","0.19157361","-0.235722334","0.19157361","0.67","0.477553191","0.94","0.79","0.542695652","1.15","0.79","0.542695652","1.15"
"West","2012","WEST  CE","prospective cohort","prospective","Vitamin C intake","VIT C","VITAMIN C","MATERNAL VITAMIN INTAKE","mother-pregnancy-intake","Q1 - lowest","Q4 - highest","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","1","0to4","high","High","Unclear/high","Low","Low","","","","","","","","","","OR","0.4","0.18","0.87","","","OR","0.4","0.16","0.98","","OR","-0.916290732","0.396443196","-0.916290732","0.457187768","-0.916290732","0.457187768","0.4","0.183908046","0.87","0.4","0.163265306","0.98","0.4","0.163265306","0.98","OR","-0.916290732","0.396443196","-0.916290732","0.457187768","-0.916290732","0.457187768","0.4","0.183908046","0.87","0.4","0.163265306","0.98","0.4","0.163265306","0.98"
"Martindale","2005","ABERDEEN COHORT","prospective cohort","prospective","Vitamin E-dietary","VIT E","VITAMIN E","MATERNAL VITAMIN INTAKE","mother-pregnancy-intake","lowest","highest","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","2","0to4","low/normal","Low","Low","Low","Low","","","","","","","","","","OR","0.57","0.35","0.92","","","OR","0.6","0.36","1","","OR","-0.562118918","0.244253729","-0.510825624","0.260625318","-0.510825624","0.260625318","0.57","0.353152174","0.92","0.6","0.36","1","0.6","0.36","1","OR","-0.562118918","0.244253729","-0.510825624","0.260625318","-0.510825624","0.260625318","0.57","0.353152174","0.92","0.6","0.36","1","0.6","0.36","1"
"Miyake","2010","OMCHS","prospective cohort","prospective","Maternal intake of Vitamin E","VIT E","VITAMIN E","MATERNAL VITAMIN INTAKE","mother-pregnancy-intake","Q1 lowest intake","Q4 highest intake","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","2","0to4","low/normal","Low","Low","Low","Low","","","","","","","","","","OR","0.57","0.35","0.92","","","OR","0.54","0.32","0.9","","OR","-0.562118918","0.244253729","-0.616186139","0.260625318","-0.616186139","0.260625318","0.57","0.353152174","0.92","0.54","0.324","0.9","0.54","0.324","0.9","OR","-0.562118918","0.244253729","-0.616186139","0.260625318","-0.616186139","0.260625318","0.57","0.353152174","0.92","0.54","0.324","0.9","0.54","0.324","0.9"
"Litonjua","2006","PROJECT VIVA ","prospectvie cohort","prospective","Vitamin E","VIT E","VITAMIN E","MATERNAL VITAMIN INTAKE","mother-pregnancy-intake","lowest","Highest","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","2","0to4","low/normal","Unclear","Unclear/high","Low","Low","","","","","","","","","","OR","0.52","0.36","0.74","0.0004","","OR","0.7","0.48","1.03","0.06","OR","-0.653926467","0.180010905","-0.356674944","0.197058034","-0.356674944","0.197058034","0.52","0.365405405","0.74","0.7","0.475728155","1.03","0.7","0.475728155","1.03","OR","-0.653926467","0.180010905","-0.356674944","0.197058034","-0.356674944","0.197058034","0.52","0.365405405","0.74","0.7","0.475728155","1.03","0.7","0.475728155","1.03"
"West","2012","WEST  CE","prospective cohort","prospective","Vitamin ","VIT E","VITAMIN E","MATERNAL VITAMIN INTAKE","mother-pregnancy-intake","Q1 - lowest","Q4 - highest","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","1","0to4","high","High","Unclear/high","Low","Low","","","","","","","","","","OR","1.06","0.53","2.12","","","OR","0.77","0.36","1.66","","OR","0.058268908","0.353646521","-0.261364764","0.391929779","-0.261364764","0.391929779","1.06","0.53","2.12","0.77","0.357168675","1.66","0.77","0.357168675","1.66","OR","0.058268908","0.353646521","-0.261364764","0.391929779","-0.261364764","0.391929779","1.06","0.53","2.12","0.77","0.357168675","1.66","0.77","0.357168675","1.66"
"Devereux","2006","ABERDEEN COHORT","prospectvie cohort","prospective","Vitamin E intake during pregnancy","VIT E","VITAMIN E","MATERNAL VITAMIN INTAKE","mother-pregnancy-intake","lowest (Q1)","Highest (Q5)","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ","","5","5to14","low/normal","Low","Low","Low","Low","","","","","","","","","","OR","0.49","0.5","1.18","","","OR","0.75","0.44","1.28","","OR","-0.713349888","0.448400167","-0.287682072","0.272725587","-0.287682072","0.272725587","0.49","0.203474576","1.18","0.75","0.439453125","1.28","0.75","0.439453125","1.28","OR","-0.713349888","0.448400167","-0.287682072","0.272725587","-0.287682072","0.272725587","0.49","0.203474576","1.18","0.75","0.439453125","1.28","0.75","0.439453125","1.28"
"Devereux","2006","ABERDEEN COHORT","prospectvie cohort","prospective","Vitamin E intake during pregnancy","VIT E","VITAMIN E","MATERNAL VITAMIN INTAKE","mother-pregnancy-intake","lowest (Q1)","Highest (Q5)","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ.REC","","5","5to14","low/normal","Low","Low","Low","Low","","","","","","","","","","OR","0.59","0.35","1","","","OR","0.45","0.23","0.89","","OR","-0.527632742","0.269200379","-0.798507696","0.347945857","-0.798507696","0.347945857","0.59","0.3481","1","0.45","0.22752809","0.89","0.45","0.22752809","0.89","OR","-0.527632742","0.269200379","-0.798507696","0.347945857","-0.798507696","0.347945857","0.59","0.3481","1","0.45","0.22752809","0.89","0.45","0.22752809","0.89"
"Litonjua","2006","PROJECT VIVA ","prospectvie cohort","prospective","Vitamin E","VIT E","VITAMIN E","MATERNAL VITAMIN INTAKE","mother-pregnancy-intake","lowest","Highest","HighestVSLowest","tertile-quartile-quintile","2=no","atopic","WHZ.REC","","2","0to4","low/normal","Unclear","Unclear/high","Low","Low","","","","","","","","","","OR","0.36","0.2","0.62","0.0007","","OR","0.49","0.27","0.9","0.05","OR","-1.021651248","0.27735482","-0.713349888","0.310198659","-0.713349888","0.310198659","0.36","0.209032258","0.62","0.49","0.266777778","0.9","0.49","0.266777778","0.9","OR","-1.021651248","0.27735482","-0.713349888","0.310198659","-0.713349888","0.310198659","0.36","0.209032258","0.62","0.49","0.266777778","0.9","0.49","0.266777778","0.9"
"Bekkers","2012","PIAMA","prospectvie cohort","prospective","Folic acid supplements during pregnancy","FOLIC ACID","FOLIC ACID","MATERNAL VITAMIN SUPPLEMENT [ANY]","mother-pregnancy-suppl","No folic acid or vitamin supplement during pregnancy","Folic acid supplement during pregnancy [approx 500mcg per day]","oftenVSnever-rare","yes-no","2=no","atopic","WHZ.REC","","8","5to14","low/normal","Unclear","Unclear/high","Low","Low","","","","","","1998","","1302","","Prevalence ratio (PR) generated using GEE","0.99","0.89","1.11","","","Adjusted Prevalence ratio (PR) - generated using GEE","1.03","0.92","1.16","","PR","-0.010050336","0.058372628","0.029558802","0.060643471","0.029558802","0.060643471","0.99","0.882972973","1.11","1.03","0.914568966","1.16","1.03","0.914568966","1.16","OR","-0.010050336","0.058372628","0.029558802","0.060643471","0.029558802","0.060643471","0.99","0.882972973","1.11","1.03","0.914568966","1.16","1.03","0.914568966","1.16"
"Magdelijns","2011","KOALA","prospectvie cohort","prospective","FOLIC ACID-ANY - PREGNANCY","FOLIC ACID","FOLIC ACID","MATERNAL VITAMIN SUPPLEMENT [ANY]","mother-pregnancy-suppl","no use","yes","oftenVSnever-rare","yes-no","2=no","atopic","WHZ.REC","","7","5to14","low/normal","Unclear","Unclear/high","Low","Low","","","","","","","","","","OR","1.23","0.69","2.18","","","OR","1.19","0.65","2.2","","OR","0.207014169","0.291995259","0.173953307","0.313522476","0.173953307","0.313522476","1.23","0.693990826","2.18","1.19","0.643681818","2.2","1.19","0.643681818","2.2","OR","0.207014169","0.291995259","0.173953307","0.313522476","0.173953307","0.313522476","1.23","0.693990826","2.18","1.19","0.643681818","2.2","1.19","0.643681818","2.2"
"Magdelijns","2011","KOALA","prospectvie cohort","prospective","FOLIC ACID-ANY - PREGNANCY","FOLIC ACID","FOLIC ACID","MATERNAL VITAMIN SUPPLEMENT [ANY]","mother-pregnancy-suppl","no use","yes","oftenVSnever-rare","yes-no","2=no","atopic","WHZ","","7","5to14","low/normal","Unclear","Unclear/high","Low","Low","","","","","","","","","","OR","1.08","0.87","1.34","","","OR","0.99","0.8","1.23","","OR","0.076961041","0.110055394","-0.010050336","0.110747197","-0.010050336","0.110747197","1.08","0.870447761","1.34","0.99","0.796829268","1.23","0.99","0.796829268","1.23","OR","0.076961041","0.110055394","-0.010050336","0.110747197","-0.010050336","0.110747197","1.08","0.870447761","1.34","0.99","0.796829268","1.23","0.99","0.796829268","1.23"
"Bekkers","2012","PIAMA","prospectvie cohort","prospective","Folic acid supplements during pregnancy","FOLIC ACID","FOLIC ACID","MATERNAL VITAMIN SUPPLEMENT [ANY]","mother-pregnancy-suppl","No folic acid or vitamin supplement during pregnancy","Folic acid supplement during pregnancy [approx 500mcg per day]","oftenVSnever-rare","yes-no","2=no","atopic","WHZ","","8","5to14","low/normal","Unclear","Unclear/high","Low","Low","","","","","","1998","","1302","","Prevalence ratio (PR) generated using GEE","1","0.89","1.11","","","Adjusted Prevalence ratio (PR) - generated using GEE","1.07","0.96","1.2","","PR","0","0.053244906","0.067658648","0.058501484","0.067658648","0.058501484","1","0.900900901","1.11","1.07","0.954083333","1.2","1.07","0.954083333","1.2","OR","0","0.053244906","0.067658648","0.058501484","0.067658648","0.058501484","1","0.900900901","1.11","1.07","0.954083333","1.2","1.07","0.954083333","1.2"
"Erkkola","2009","DIPP ","prospective cohort","prospective","Maternal vitamin D intake (preg.; supp)","VIT D","VITAMIN D","MATERNAL VITAMIN SUPPLEMENT [ANY]","mother-pregnancy-suppl","no use","use","oftenVSnever-rare","yes-no","2=no","atopic","AD","","5","5to14","low/normal","Low","Low","Low","Low","","","","","","","","","","","","","","","","OR","1.08","0.86","1.36","","OR","","","0.076961041","0.117614112","0.076961041","0.117614112","","","","1.08","0.857647059","1.36","1.08","0.857647059","1.36","OR","","","0.076961041","0.117614112","0.076961041","0.117614112","","","","1.08","0.857647059","1.36","1.08","0.857647059","1.36"
"de Jong","2012","GENERATION R","prospectvie cohort","prospective","FOLATE-MATERNAL SUPPL PREGNANCY","FOLATE","FOLIC ACID","MATERNAL VITAMIN SUPPLEMENT [ANY]","mother-pregnancy-suppl","No Folate during the first trimester","Folate supplement [usu about 400-500mcg daily] within 10 weeks of conception","oftenVSnever-rare","yes-no","2=no","atopic","AD","","4","0to4","low/normal","Low","Low","Low","Low","","","","","","","","","","OR","1.16","0.91","1.48","","","OR","1.15","0.9","1.47","","OR","0.148420005","0.124296981","0.139761942","0.125255336","0.139761942","0.125255336","1.16","0.909189189","1.48","1.15","0.899659864","1.47","1.15","0.899659864","1.47","OR","0.148420005","0.124296981","0.139761942","0.125255336","0.139761942","0.125255336","1.16","0.909189189","1.48","1.15","0.899659864","1.47","1.15","0.899659864","1.47"
"Magdelijns","2011","KOALA","prospectvie cohort","prospective","FOLIC ACID-ANY - PREGNANCY","FOLIC ACID","FOLIC ACID","MATERNAL VITAMIN SUPPLEMENT [ANY]","mother-pregnancy-suppl","no use","yes","oftenVSnever-rare","yes-no","2=no","atopic","AD","","2","0to4","low/normal","Unclear","Unclear/high","Low","Low","","","","","","","","","","OR","1.17","0.66","2.06","","","OR","1.15","0.63","2.1","","OR","0.157003749","0.288623589","0.139761942","0.307232348","0.139761942","0.307232348","1.17","0.664514563","2.06","1.15","0.629761905","2.1","1.15","0.629761905","2.1","OR","0.157003749","0.288623589","0.139761942","0.307232348","0.139761942","0.307232348","1.17","0.664514563","2.06","1.15","0.629761905","2.1","1.15","0.629761905","2.1"
"Bekkers","2012","PIAMA","prospectvie cohort","prospective","Folic acid supplements during pregnancy","FOLIC ACID","FOLIC ACID","MATERNAL VITAMIN SUPPLEMENT [ANY]","mother-pregnancy-suppl","No folic acid or vitamin supplement during pregnancy","Folic acid supplement during pregnancy [approx 500mcg per day]","oftenVSnever-rare","yes-no","2=no","atopic","AD","","8","5to14","low/normal","Unclear","Unclear/high","Low","Low","","","","","","1998","","1302","","Prevalence ratio (PR) generated using GEE","0.99","0.89","1.1","","","Adjusted Prevalence ratio (PR) - generated using GEE","0.98","0.87","1.09","","PR","-0.010050336","0.053755365","-0.020202707","0.054275716","-0.020202707","0.054275716","0.99","0.891","1.1","0.98","0.881100917","1.09","0.98","0.881100917","1.09","OR","-0.010050336","0.053755365","-0.020202707","0.054275716","-0.020202707","0.054275716","0.99","0.891","1.1","0.98","0.881100917","1.09","0.98","0.881100917","1.09"
"Bekkers","2012","PIAMA","prospectvie cohort","prospective","Multivitamin supplement during pregnancy","MULTIVITAMINS","MULTIVITAMIN","MATERNAL VITAMIN SUPPLEMENT [ANY]","mother-pregnancy-suppl","No folic acid or vitamin supplement during pregnancy","Multivitamin supplement during pregnancy [usually 400mcg daily folate dose]","oftenVSnever-rare","yes-no","2=no","atopic","AD","","8","5to14","low/normal","Unclear","Unclear/high","Low","Low","","","","","","287","","1302","","Prevalence ratio (PR) generated using GEE","1.1","0.91","1.32","","","Adjusted Prevalence ratio (PR) - generated using GEE","1.07","0.89","1.29","","PR","0.09531018","0.093021202","0.067658648","0.095399781","0.067658648","0.095399781","1.1","0.916666667","1.32","1.07","0.88751938","1.29","1.07","0.88751938","1.29","OR","0.09531018","0.093021202","0.067658648","0.095399781","0.067658648","0.095399781","1.1","0.916666667","1.32","1.07","0.88751938","1.29","1.07","0.88751938","1.29"
"Wang","2007","Tiawan Nationation Birth Cohort Study","prospective cohort","prospective","Specific food intake - maternal","CALCIUM","CALCIUM","MATERNAL MINERAL SUPPLEMENT","mother-pregnancy-suppl","No maternal intake during pregnancy","Maternal intake during pregnancy","oftenVSnever-rare","yes-no","2=no","atopic","AD","","0.5","0to4","low/normal","Low","Low","Low","Low","","","","","","152","","1608","","OR","1.22","0.83","1.79","","","","","","","","OR","0.198850859","0.195594266","","","0.198850859","0.195594266","1.22","0.83150838","1.79","","","","1.22","0.83150838","1.79","OR","0.198850859","0.195594266","","","0.198850859","0.195594266","1.22","0.83150838","1.79","","","","1.22","0.83150838","1.79"
"de Jong","2012","GENERATION R","prospectvie cohort","prospective","FOLATE-MATERNAL SUPPL PREGNANCY","FOLATE","FOLIC ACID","MATERNAL VITAMIN SUPPLEMENT [ANY]","mother-pregnancy-suppl","No Folate during the first trimester","Folate supplement [usu about 400-500mcg daily] within 10 weeks of conception","oftenVSnever-rare","yes-no","2=no","atopic","WHZ","","4","0to4","low/normal","Low","Low","Low","Low","","","","","","","","","","OR","0.94","0.81","1.07","","","OR","1.02","0.9","1.16","","OR","-0.061875404","0.066088802","0.019802627","0.065621111","0.019802627","0.065621111","0.94","0.825794393","1.07","1.02","0.896896552","1.16","1.02","0.896896552","1.16","OR","-0.061875404","0.066088802","0.019802627","0.065621111","0.019802627","0.065621111","0.94","0.825794393","1.07","1.02","0.896896552","1.16","1.02","0.896896552","1.16"
"Magdelijns","2011","KOALA","prospectvie cohort","prospective","FOLIC ACID-ANY - PREGNANCY","FOLIC ACID","FOLIC ACID","MATERNAL VITAMIN SUPPLEMENT [ANY]","mother-pregnancy-suppl","no use","yes","oftenVSnever-rare","yes-no","2=no","atopic","WHZ","","7","5to14","low/normal","Unclear","Unclear/high","Low","Low","","","","","","","","","","OR","1.08","0.87","1.34","","","OR","0.99","0.8","1.23","","OR","0.076961041","0.110055394","-0.010050336","0.110747197","-0.010050336","0.110747197","1.08","0.870447761","1.34","0.99","0.796829268","1.23","0.99","0.796829268","1.23","OR","0.076961041","0.110055394","-0.010050336","0.110747197","-0.010050336","0.110747197","1.08","0.870447761","1.34","0.99","0.796829268","1.23","0.99","0.796829268","1.23"
"Haberg","2009","Norwegian Mother & Child Cohort Study","prospectvie cohort","prospective","Folic acid after first trimester","FOLIC ACID","FOLIC ACID","MATERNAL VITAMIN SUPPLEMENT [ANY]","mother-pregnancy-suppl","No folate in 2nd/3rd trimester","Folate supplement in 2nd/3rd trimester","oftenVSnever-rare","yes-no","2=no","atopic","WHZ","","1.5","0to4","low/normal","Unclear","Unclear/high","Low","Low","","","","","","","","","","","","","","","","RR","1","0.97","1.03","","RR","","","0","0.015081022","0","0.015081022","","","","1","0.970873786","1.03","1","0.970873786","1.03","RR","","","0","0.015081022","0","0.015081022","","","","1","0.970873786","1.03","1","0.970873786","1.03"
"Bekkers","2012","PIAMA","prospectvie cohort","prospective","Folic acid supplements during pregnancy","FOLIC ACID","FOLIC ACID","MATERNAL VITAMIN SUPPLEMENT [ANY]","mother-pregnancy-suppl","No folic acid or vitamin supplement during pregnancy","Folic acid supplement during pregnancy [approx 500mcg per day]","oftenVSnever-rare","yes-no","2=no","atopic","WHZ","","8","5to14","low/normal","Unclear","Unclear/high","Low","Low","","","","","","1998","","1302","","Prevalence ratio (PR) generated using GEE","1","0.89","1.11","","","Adjusted Prevalence ratio (PR) - generated using GEE","1.07","0.96","1.2","","PR","0","0.053244906","0.067658648","0.058501484","0.067658648","0.058501484","1","0.900900901","1.11","1.07","0.954083333","1.2","1.07","0.954083333","1.2","OR","0","0.053244906","0.067658648","0.058501484","0.067658648","0.058501484","1","0.900900901","1.11","1.07","0.954083333","1.2","1.07","0.954083333","1.2"
